Time,xAcc,yAcc,zAcc,zGyro
13944,-50,-383,4247,-42
13964,-58,-367,4243,-37
13984,-51,-375,4209,-36
14004,-65,-376,4174,-32
14024,-55,-367,4166,-30
14044,-52,-371,4138,-25
14064,-40,-360,4102,-23
14084,-55,-358,4091,-18
14104,-64,-350,4061,-17
14124,-42,-365,4074,-14
14144,-25,-346,4073,-13
14164,-17,-350,4092,-7
14184,-10,-371,4101,-8
14204,27,-375,4117,-6
14224,23,-358,4169,-8
14244,30,-370,4175,-9
14264,37,-381,4218,-11
14284,18,-381,4238,-11
14304,-33,-378,4249,-14
14324,-23,-370,4238,-12
14344,20,-370,4238,-9
14364,22,-372,4214,-9
14384,9,-385,4209,-11
14404,13,-376,4187,-10
14424,21,-372,4152,-9
14444,-11,-362,4123,-9
14464,-16,-358,4105,-10
14484,-10,-352,4091,-9
14504,7,-359,4080,-12
14524,28,-367,4087,-12
14544,10,-357,4089,-10
14564,11,-367,4111,-10
14584,2,-360,4115,-13
14604,-4,-363,4142,-10
14624,-2,-363,4163,-9
14644,-5,-370,4186,-10
14664,11,-372,4210,-11
14684,17,-383,4231,-12
14704,0,-371,4238,-11
14724,-5,-383,4235,-12
14744,1,-350,4220,-10
14764,7,-374,4220,-8
14784,-1,-367,4192,-11
14804,7,-379,4162,-10
14824,1,-371,4149,-9
14844,0,-360,4121,-11
14864,-7,-360,4104,-11
14884,17,-361,4093,-8
14904,19,-378,4098,-11
14924,5,-369,4083,-11
14944,-8,-367,4113,-11
14964,10,-365,4112,-10
14984,17,-374,4132,-15
15004,2,-360,4155,-11
15024,-4,-368,4174,-8
15044,15,-370,4186,-10
15064,9,-386,4216,-8
15084,0,-376,4208,-10
15104,0,-377,4217,-12
15124,21,-363,4241,-9
15146,-5,-374,4201,-13
15166,2,-370,4196,-11
15186,22,-365,4179,-8
15206,4,-367,4164,-12
15226,-2,-366,4133,-9
15246,1,-369,4107,-9
15266,26,-371,4100,-11
15286,5,-361,4086,-10
15306,4,-369,4107,-9
15326,31,-375,4089,-10
15346,13,-358,4118,-13
15366,-31,-358,4140,-14
15386,-21,-374,4152,-7
15406,9,-367,4191,-12
15426,18,-379,4190,-10
15446,-18,-373,4229,-12
15466,-19,-381,4193,-9
15486,34,-380,4211,-10
15506,39,-385,4218,-9
15526,-4,-357,4190,-14
15546,-56,-362,4200,-7
15566,5,-359,4160,-7
15586,69,-360,4155,-9
15606,2,-370,4139,-15
15626,-65,-364,4150,-11
15646,8,-361,4094,-9
15666,73,-357,4108,-9
15686,4,-349,4132,-17
15706,-83,-339,4133,-11
15726,26,-341,4070,-6
15746,22,-355,4070,-9
15766,-23,-364,4112,-9
15786,-19,-381,4097,-8
15806,17,-397,4112,-4
15826,85,-401,4154,-7
15846,23,-399,4200,-15
15866,-77,-383,4213,-15
15887,8,-366,4266,-6
15907,87,-383,4277,-13
15927,-14,-367,4253,-18
15947,-109,-350,4312,-10
15967,-4,-367,4219,-8
15987,53,-364,4164,-8
16007,-16,-367,4157,-10
16027,-66,-368,4102,-5
16047,4,-373,4030,0
16067,82,-369,4066,-8
16087,36,-373,4042,-13
16107,-34,-358,4021,-14
16127,5,-359,4080,-12
16147,14,-375,4100,-15
16167,-18,-367,4099,-12
16187,-23,-365,4164,-12
16207,-1,-377,4230,-9
16227,15,-383,4187,-8
16247,31,-397,4212,-6
16267,82,-365,4353,-9
16287,11,-383,4327,-16
16307,-100,-375,4297,-12
16327,-102,-333,4335,-4
16347,88,-340,4225,-6
16367,67,-387,4259,-21
16387,-225,-373,4047,-14
16407,-13,-357,4131,8
16427,260,-382,3914,-5
16447,99,-370,3877,-23
16467,-288,-366,4134,-11
16487,-40,-324,3907,5
16507,255,-350,4030,-2
16527,26,-368,4123,-28
16547,-279,-372,4226,-19
16567,-95,-342,4099,6
16587,306,-381,4172,-6
16607,47,-397,4324,-27
16627,-282,-377,4242,-18
16647,-137,-375,4285,6
16667,236,-372,4327,1
16687,64,-386,4292,-25
16707,-271,-382,4282,-16
16727,-83,-356,4202,3
16747,352,-399,4149,-3
16767,202,-419,4082,-28
16787,-302,-374,4152,-23
16807,-144,-342,4104,6
16827,298,-358,4049,0
16847,0,-343,3985,-30
16867,-337,-324,4245,-12
16887,268,-333,3767,1
16907,195,-474,3986,-38
16927,-345,-229,3997,-26
16947,35,-507,3872,6
16967,-25,-359,4177,27
16987,281,-387,4149,-8
17007,118,-435,4540,-24
17027,-272,-359,4300,-14
17047,11,-372,4372,3
17067,245,-401,4507,-10
17087,-128,-355,4175,-28
17107,-306,-364,4405,-6
17127,40,-371,4175,6
17147,130,-403,4025,-10
17167,-120,-367,3997,-14
17187,-56,-383,4127,-1
17207,254,-396,3851,-8
17227,134,-376,3870,-27
17247,-149,-351,4174,-26
17267,-126,-323,3971,-8
17287,61,-322,3998,-8
17307,37,-338,4287,-19
17327,-200,-345,4230,-15
17347,-152,-341,4074,3
17367,140,-394,4300,4
17387,203,-402,4289,-11
17407,-47,-402,4147,-18
17427,-71,-421,4320,-8
17447,81,-408,4319,-6
17467,91,-389,4188,-14
17487,-39,-371,4308,-18
17507,-148,-365,4294,-12
17527,-50,-360,4113,-4
17547,108,-338,4143,-8
17567,64,-349,4137,-16
17587,-105,-362,4011,-15
17607,-71,-356,4001,-2
17627,64,-379,4038,-3
17647,101,-370,3973,-12
17667,-13,-368,4033,-17
17687,-78,-362,4132,-10
17707,-4,-362,4087,-8
17727,101,-378,4137,-13
17747,27,-370,4245,-19
17767,-53,-371,4259,-15
17787,65,-386,4302,-12
17807,136,-378,4426,-19
17827,59,-427,4327,-28
17847,-110,-352,4182,-29
17867,-204,-303,4171,-5
17887,77,-376,4145,-3
17907,107,-380,4146,-12
17927,-177,-352,4078,-13
17947,-104,-372,4007,2
17969,107,-377,3947,5
17989,174,-383,3945,-14
18009,52,-387,3985,-20
18029,-154,-362,4011,-16
18049,-28,-376,4068,-7
18069,92,-346,4189,-9
18089,-1,-341,4231,-20
18109,-210,-346,4246,-11
18129,-53,-358,4317,5
18149,179,-366,4342,2
18171,88,-390,4330,-14
18191,-194,-381,4357,-16
18211,11,-401,4403,0
18231,170,-390,4295,-8
18251,83,-388,4266,-26
18271,-212,-387,4263,-22
18291,-46,-347,4128,-1
18311,177,-329,4033,-8
18331,15,-342,4036,-23
18351,-223,-327,4002,-13
18371,-19,-319,3925,4
18391,199,-347,3893,-6
18411,-32,-345,3975,-16
18431,-106,-349,4047,-4
18451,104,-366,3973,0
18471,132,-386,3985,-14
18491,-94,-371,4143,-14
18511,-37,-373,4278,-1
18531,173,-382,4261,-5
18551,59,-402,4312,-24
18571,-286,-383,4388,-15
18593,-35,-372,4354,9
18613,280,-392,4321,-11
18633,-47,-379,4327,-31
18653,-376,-397,4241,-5
18673,42,-297,4060,22
18693,373,-386,4104,-6
18713,33,-393,4120,-36
18733,-343,-353,4049,-15
18753,-74,-334,3920,7
18773,325,-346,4008,-12
18793,-53,-359,4043,-32
18814,-333,-343,4013,-11
18834,124,-348,4046,8
18854,333,-357,4109,-11
18874,-42,-356,4187,-30
18894,-332,-348,4158,-7
18914,8,-367,4188,12
18934,262,-381,4245,-13
18954,-26,-372,4301,-26
18974,-281,-364,4322,-14
18994,-45,-358,4226,4
19014,146,-363,4194,-4
19034,-65,-379,4258,-14
19054,-149,-368,4262,0
19074,97,-365,4159,1
19094,172,-370,4123,-14
19114,-81,-365,4128,-16
19134,-179,-341,4075,-7
19154,21,-347,4075,4
19174,154,-360,4080,-10
19194,-7,-347,4087,-20
19214,-159,-336,4087,-13
19234,-50,-322,4072,-6
19254,88,-335,4108,-12
19274,-54,-343,4120,-15
19294,-124,-354,4109,-5
19314,16,-347,4106,3
19334,131,-371,4153,-5
19354,51,-385,4207,-13
19374,-74,-365,4262,-13
19394,-82,-370,4292,-6
19414,143,-500,4229,-6
19434,-28,-303,4245,-10
19454,-77,-325,4333,-10
19474,29,-381,4327,-7
19494,16,-359,4269,-14
19514,-61,-358,4137,-16
19534,-45,-343,4066,-10
19554,23,-343,4056,-10
19574,-50,-270,3814,-20
19594,-259,-382,3775,-11
19614,-114,-312,3966,12
19634,217,-373,3914,5
19654,115,-358,3899,-22
19674,-204,-364,4057,-10
19694,44,-359,4197,10
19714,240,-364,4226,-9
19734,-98,-370,4345,-21
19755,-349,-374,4475,-1
19775,137,-366,4423,19
19795,333,-397,4471,-10
19815,-132,-413,4537,-29
19835,-357,-402,4351,-4
19855,54,-363,4171,13
19875,305,-373,4094,-8
19895,-76,-366,4036,-26
19915,-358,-307,3991,-1
19935,-111,-300,3942,14
19955,156,-358,3918,12
19975,-68,-332,3964,-6
19995,-257,-316,3966,12
20015,-42,-337,3883,24
20035,153,-352,3933,16
20055,74,-374,4109,7
20076,-138,-369,4153,7
20096,-50,-367,4164,17
20116,-2,-364,4260,17
20136,20,-376,4368,17
20156,32,-400,4414,14
20176,-2,-399,4403,9
20196,13,-379,4363,9
20216,69,-375,4344,12
20236,170,-385,4338,3
20256,19,-371,4288,-8
20276,-142,-314,4194,1
20296,-117,-353,4139,16
20316,150,-383,4087,7
20336,181,-372,4049,-4
